Address description,Price,Rooms,Rooms detailed,Surface area,Bathrooms,Floor,House type,Total building floors,Year of construction,Condition,Energy Efficiency,URL
"2-room flat via Luigi Lagrange 35, Via Roma, Turin","€ 369,000",2,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",62 m²,,"1°, with lift, with disabled access",Apartment | Full ownership | Luxury property,5 floors,2024,New / Under construction,A,https://www.immobiliare.it/en/annunci/100144800/
"3-room flat via Santa Chiara, Quadrilatero Romano, Turin","€ 379,000",3,"3 (1 bedroom, 2 others), 1 bathroom, open kitchen",133 m²,,"Ground floor, with lift, with disabled access",Apartment | Full ownership | Medium property class,4 floors,1700,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/96163414/
"Apartment via Principe Amedeo, Via Roma, Turin","€ 795,000",5+,"5+ (3 bedrooms, 4 others), 2 bathrooms, kitchen diner",200 m²,2,"3° floor, with lift",Apartment | Full ownership | Stately property class,5 floors,1935,Good condition / Liveable,D,https://www.immobiliare.it/en/annunci/99092428/
"Apartment via Cimabue 3, Centro Europa, Turin","€ 168,000",5,"5 (2 bedrooms, 3 others), 2 bathrooms, kitchen diner",124 m²,2,"7°, with lift",Apartment | Full ownership | Medium property class,8 floors,1965,To be refurbished,G,https://www.immobiliare.it/en/annunci/101553685/
"2-room flat via Saluzzo 106, San Salvario - Dante, Turin","€ 125,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",60 m²,,"4°, with lift",Apartment | Full ownership | Stately property class,6 floors,1960,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/100617517/
"Apartment via Sospello 139, Borgo Vittoria, Turin","€ 158,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",150 m²,2,"5°, with lift, with disabled access",Apartment | Full ownership | Medium property class,6 floors,1960,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/99630352/
"Single family villa Strada Guido Volante 121, Colle della Maddalena, Turin","€ 1,550,000",5+,"5+ (6 bedrooms, 11 others), 3+ bathrooms, kitchen diner",700 m²,3+,Ground floor,Single family villa | Full ownership | Stately property class,3 floors,1970,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/100355564/
"Single family villa Strada dei Calleri 36, Superga, Turin","€ 990,000",5+,"5+ (5 bedrooms, 2 others), 3+ bathrooms, kitchen diner",820 m² - See detail,3+,"3 floors: Basement (-1), Ground floor, 1°, with lift, with disabled access",Single family villa | Full ownership | Stately property class,2 floors,1950,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/99558640/
"Apartment via Bertola 23, Quadrilatero Romano, Turin","€ 445,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",123 m²,2,"2° floor, with lift, with disabled access",Apartment | Full ownership | Stately property class,3 floors,1900,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/101048595/
"Apartment via Guido Reni 218, Centro Europa, Turin","€ 189,000",5,"5 (3 bedrooms, 2 others), 1 bathroom, kitchenette",120 m²,,"7°, with lift, with disabled access",Apartment | Full ownership,10 floors,1965,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/99631446/
"Studio via Vittorio Andreis 4A, Aurora, Turin","€ 42,000",,"1 bedroom, 1 bathroom, kitchen nook",30 m²,,Mezzanine,Apartment | Full ownership | Medium property class,4 floors,1900,To be refurbished,E,https://www.immobiliare.it/en/annunci/99167344/
"2-room flat via Chisola, Lingotto, Turin","€ 148,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",55 m²,,"1°, with lift",Apartment | Full ownership | Medium property class,4 floors,1930,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/98833676/
"3-room flat corso Peschiera 302, Pozzo Strada, Turin","€ 225,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen nook",88 m²,,"2° floor, with lift, with disabled access",Apartment | Full ownership | Stately property class,9 floors,1960,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/100537864/
"2-room flat via Francesco Morosini 12, Crocetta, Turin","€ 189,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",75 m²,,"Multi-level, with disabled access",Apartment | Full ownership | Stately property class,2 floors,1900,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/99161990/
"4-room flat via Antonio Gramsci 7, Via Roma, Turin","€ 836,000",4,"4 (3 bedrooms, 1 other), 2 bathrooms, semi-habitable kitchen",141 m²,2,"4°, with lift, with disabled access",Apartment | Full ownership | Luxury property,7 floors,,New / Under construction,A,https://www.immobiliare.it/en/annunci/98369314/
"2-room flat corso Grosseto 118, Borgo Vittoria, Turin","€ 57,000",2,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",50 m²,,"7°, with lift",Apartment | Full ownership | Medium property class,7 floors,1960,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/99704178/
"2-room flat via Antonio Gramsci 7, Via Roma, Turin","€ 365,000",2,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",67 m²,,"3°, with lift, with disabled access",Apartment | Full ownership | Luxury property,7 floors,,New / Under construction,A,https://www.immobiliare.it/en/annunci/98369964/
"2-room flat via Antonio Gramsci 7, Via Roma, Turin","€ 418,000",2,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",77 m²,,"4°, with lift, with disabled access",Apartment | Full ownership | Luxury property,7 floors,,New / Under construction,A,https://www.immobiliare.it/en/annunci/98368782/
"3-room flat via Antonio Gramsci 7, Via Roma, Turin","€ 742,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, open kitchen",140 m²,,"3°, with lift, with disabled access",Apartment | Full ownership | Luxury property,7 floors,,New / Under construction,A,https://www.immobiliare.it/en/annunci/98369076/
"4-room flat via Dell' Arcivescovado 7, Via Roma, Turin","€ 442,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",81 m²,2,"4° floor, with lift, with disabled access",Apartment | Full ownership | Stately property class,,1890,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/101333507/
"3-room flat via Antonio Gramsci 7, Centro, Turin","€ 927,000",3,"3 (2 bedrooms, 1 other), 2 bathrooms, open kitchen",170 m²,2,"3°, with lift, with disabled access",Apartment | Full ownership | Luxury property,7 floors,,New / Under construction,A,https://www.immobiliare.it/en/annunci/98370804/
"2-room flat via Conte Giambattista Bogino 4, Via Roma, Turin","€ 198,000",2,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",55 m²,,"1°, with lift",Apartment | Full ownership | Luxury property,5 floors,1900,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/93498428/
"2-room flat corso Siracusa 40, Santa Rita, Turin","€ 95,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",60 m²,,"2°, with lift",Apartment | Full ownership | Medium property class,7 floors,1969,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/99271094/
"3-room flat via Nicola Fabrizi 140, Parella, Turin","€ 175,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, open kitchen",78 m²,,"2°, with lift",Apartment | Full ownership | Medium property class,5 floors,1962,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/99724060/
"2-room flat via Borgomanero 55, Parella, Turin","€ 68,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",50 m²,,Mezzanine,Apartment | Full ownership | Medium property class,4 floors,1955,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/100867319/
"4-room flat via Balme 45, Campidoglio, Turin","€ 190,000",4,"4 (3 bedrooms, 1 other), 1 bathroom, kitchen diner",106 m²,,"3°, with lift",Apartment | Full ownership | Medium property class,4 floors,1953,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/100816379/
"3-room flat good condition, second floor, Crocetta, Turin","€ 195,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen nook",67 m²,,"2°, with lift",Apartment | Full ownership | Medium property class,5 floors,1900,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/98340776/
"3-room flat via mombarcaro 4, Santa Rita, Turin","€ 153,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchenette",75 m²,,"5° floor, with lift",Apartment,6 floors,,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/94245960/
"Apartment piazza Vittorio Veneto 18, Giardini Reali, Turin","€ 580,000",5+,"5+ (2 bedrooms, 4 others), 2 bathrooms",150 m²,2,"1° floor, with lift",Apartment | Full ownership | Stately property class,4 floors,,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/100850005/
"3-room flat via Giovanni Fattori 55, Pozzo Strada, Turin","€ 163,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",85 m²,,"1°, with lift, with disabled access",Apartment | Full ownership | Stately property class,8 floors,1970,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/101336847/
"4-room flat via Garessio, Nizza Millefonti, Turin","€ 295,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",121 m²,,"1°, with lift",Apartment | Full ownership | Stately property class,9 floors,1969,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/98746098/
"Apartment corso Vittorio Emanuele II 191, Cenisia, Turin","€ 320,000",5+,"6 bedrooms, 1 bathroom, kitchen diner",150 m²,,"5°, with lift",Apartment | Full ownership | Medium property class,5 floors,,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/100464900/
"3-room flat via Alfonso Lamarmora 68, Crocetta, Turin","€ 239,000",3,"3 (1 bedroom, 2 others), 1 bathroom, kitchen diner",82 m²,,"1°, with lift, with disabled access",Apartment | Usufruct | Stately property class,6 floors,1950,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/100446172/
"3-room flat via MONTEROSA 77, Barriera di Milano, Turin","€ 67,900",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",64 m²,,"3°, with lift, with disabled access",Apartment | Full ownership | Medium property class,4 floors,,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/96345630/
"Apartment via Camburzano 7, Campidoglio, Turin","€ 348,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, open kitchen",120 m²,2,"2°, with lift",Apartment | Full ownership | Stately property class,3 floors,1930,Excellent / Refurbished,F,https://www.immobiliare.it/en/annunci/100207766/
New construction Apartments in Turin,,1 - 3,"5 (3 bedrooms, 2 others), 2 bathrooms, open kitchen",,,,Project,7 floors,,Excellent / Refurbished,A1,https://www.immobiliare.it/en/annunci/97589238/
"Apartment corso Rodolfo Montevecchio 53, Crocetta, Turin","€ 990,000",5+,"5+ (4 bedrooms, 2 others), 3 bathrooms, kitchenette",270 m²,3,"1°, with lift",Apartment | Full ownership | Luxury property,3 floors,1926,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/98803672/
"3-room flat via Ilarione Petitti 16, San Salvario - Dante, Turin","€ 349,000",3,"3 (2 bedrooms, 1 other), 2 bathrooms, open kitchen",120 m² - See detail,2,"3°, with lift",Apartment | Full ownership | Medium property class,7 floors,1963,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/99436304/
"Apartment corso Matteotti 36, Cittadella, Turin","€ 835,000",5+,"5+ (3 bedrooms, 5 others), 3 bathrooms, kitchen diner",278 m²,3,"2° floor, with lift",Apartment | Full ownership | Stately property class,4 floors,1890,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/98445502/
"2-room flat via Nicomede Bianchi 3, Parella, Turin","€ 48,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",50 m²,,3°,Apartment | Full ownership | Medium property class,3 floors,1940,To be refurbished,,https://www.immobiliare.it/en/annunci/98784146/
"Apartment corso Moncalieri 271, Cavoretto, Turin","€ 482,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",136 m²,2,"2°, with lift",Apartment | Full ownership | Luxury property,5 floors,2017,New / Under construction,A,https://www.immobiliare.it/en/annunci/59451594/
"Two-family villa via Andrea Sansovino 108, Lucento, Turin","€ 134,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",93 m²,,1° floor,Two-family villa | Full ownership | Medium property class,1 floor,1950,Excellent / Refurbished,G,https://www.immobiliare.it/en/annunci/101544795/
"Apartment corso Carlo e Nello Rosselli 46, Crocetta, Turin","€ 193,000",5,"5 (4 bedrooms, 1 other), 1 bathroom, kitchen diner",116 m²,,"Mezzanine, with lift, with disabled access",Apartment | Full ownership | Stately property class,6 floors,1920,To be refurbished,G,https://www.immobiliare.it/en/annunci/95046346/
"Apartment corso Luigi Einaudi, Crocetta, Turin","€ 890,000",5+,"5+ (5 bedrooms, 3 others), 3 bathrooms, kitchen diner",248 m²,3,"4° floor, with lift",Apartment | Full ownership | Stately property class,4 floors,1900,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/99092662/
"Penthouse piazza San Carlo, Via Roma, Turin","€ 3,400,000",5+,"5+ (4 bedrooms, 4 others), 3+ bathrooms, kitchen diner",452 m²,3+,"Multi-level, with lift",Penthouse | Full ownership | Stately property class,5 floors,,New / Under construction,G,https://www.immobiliare.it/en/annunci/87806794/
"3-room flat via Andrea Doria 7, Via Roma, Turin","€ 590,000",3,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen diner",96 m²,2,"1°, with lift",Apartment | Full ownership | Medium property class,4 floors,2024,New / Under construction,A,https://www.immobiliare.it/en/annunci/101034883/
"2-room flat via Giovan Battista e Felice Biscarra 26, Centro Europa, Turin","€ 105,000",2,"2 (1 bedroom, 1 other), 1 bathroom, semi-habitable kitchen",61 m²,,"2° floor, with lift",Apartment | Full ownership | Medium property class,5 floors,1950,To be refurbished,F,https://www.immobiliare.it/en/annunci/101325669/
"4-room flat largo Cardinale Guglielmo Massaia 37, Madonna di Campagna, Turin","€ 99,000",4,"4 (3 bedrooms, 1 other), 1 bathroom, kitchen diner",95 m²,,"Mezzanine, with lift, with disabled access",Apartment | Full ownership,5 floors,,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/98361116/
"3-room flat corso Grosseto 207, Madonna di Campagna, Turin","€ 120,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchenette",78 m²,,"7°, with lift",Apartment | Full ownership,9 floors,1960,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/101336553/
"4-room flat via Passalacqua 3, Cittadella, Turin","€ 399,000",4,"4 (3 bedrooms, 1 other), 2 bathrooms, open kitchen",130 m²,2,2° floor,Apartment | Full ownership | Medium property class,2 floors,1950,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/99927150/
"2-room flat via La Loggia 7, Lingotto, Turin","€ 100,000",2,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",55 m²,,"2°, with lift",Apartment | Full ownership | Medium property class,4 floors,1960,Excellent / Refurbished,F,https://www.immobiliare.it/en/annunci/99877414/
"Attic via Pietro Cossa 105, Parella, Turin","€ 480,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",170 m² - See detail,2,"2 floors: from 6° to 7°, with lift, with disabled access",Attic | Full ownership | Stately property class,7 floors,2019,New / Under construction,A4,https://www.immobiliare.it/en/annunci/100348050/
"Apartment via Luigi Ferdinando Marsigli, Pozzo Strada, Turin",price on application,5+,"5+ (4 bedrooms, 2 others), 3 bathrooms, kitchen diner",168 m² | commercial 169.2 m² - See detail,3,"1°, with lift, with disabled access",Apartment | Full ownership | Stately property class,10 floors,2022,New / Under construction,A4,https://www.immobiliare.it/en/annunci/65238382/
"Apartment via Pietro Bonfante 13, Centro Europa, Turin","€ 245,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",165 m²,2,"2°, with lift, with disabled access",Apartment | Full ownership | Stately property class,6 floors,1970,Good condition / Liveable,D,https://www.immobiliare.it/en/annunci/92780936/
"Single-family detached house via Genola 8, San Paolo, Turin",price on application,5+,"5+ (4 bedrooms, 2 others), 3+ bathrooms, kitchen diner",420 m² - See detail,3+,"5 floors: from Semi-basement to Ground floor, Mezzanine, from 1° to 2°",Single-family detached house | Full ownership | Stately property class,2 floors,2010,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/100718083/
New construction Apartments in Turin,,2 - 5+,"5+ (4 bedrooms, 2 others), 3+ bathrooms, kitchen diner",,,,Project | Full ownership,,,Excellent / Refurbished,A,https://www.immobiliare.it/en/annunci/97492960/
"4-room flat corso Bernardino Telesio 125, Parella, Turin","€ 305,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen nook",95 m² - See detail,2,"2°, with lift, with disabled access",Apartment | Full ownership | Stately property class,4 floors,2023,New / Under construction,A+,https://www.immobiliare.it/en/annunci/100930629/
